phi_c_tau_R,phi_c_D_R,n_tau,n_D,nv,mu,box_area_at_phi_c_tau_R,box_area_at_phi_c_D_R
0.9089123524237753,0.8739123524247181,1.0,1.0,4.0,0.008164829729915748,1257.0643760907635,1307.409531460085
0.8658262520755982,0.8949404187414869,2.0,1.0,4.0,0.04080782932503446,1300.0200279772237,1257.7278273224053
0.8723473292870773,0.8985296626197069,2.0,1.0,4.0,0.08151391459392208,1267.0506052998644,1230.129908435445
0.8918467160745611,0.8944600494078248,2.0,1.0,4.0,0.3922322702763648,1025.5568479191256,1022.560490622231
0.8608986957719792,0.872332029105007,2.0,1.0,4.0,0.7071067811865476,974.9141716515638,962.1363321091811
0.8591541754136165,0.871028897635522,2.0,1.45,7.0,0.008677567623904503,1346.6775730527454,1328.3183404878084
0.8623939555222127,0.8805939555217243,2.0,1.0,7.0,0.043374985057394705,1332.920724375878,1305.3720942372381
0.8670456582125396,0.8835084915454334,2.0,1.0,7.0,0.08666978548021526,1312.4809164486428,1288.0248361881097
0.8563656804657245,0.8690123471320539,2.0,1.0,7.0,0.421078708453035,1192.28161859596,1174.9304402697405
0.8464613927631522,0.8536842260962929,2.0,1.0,7.0,0.7770942488589635,1122.9559703602258,1113.4548883835134
0.8767111436287301,0.9012111436280725,2.0,2.5,11.0,0.0091169801104741,1323.223093215296,1287.250429082013
0.8597415889488631,0.8814608389482826,2.0,1.0,11.0,0.045575670234116586,1343.7922296785625,1310.6811054016298
0.8584543425420823,0.8894052314301425,1.5823529411764707,1.0,11.0,0.09109372317530223,1334.9740998069135,1288.5176212846063
0.8414117215412216,0.8790530548735433,1.5,1.0,11.0,0.4465288487115895,1277.1482761502618,1222.4603779502063
0.8363460127686158,0.8696660127677193,2.0,1.0,11.0,0.8433074288781546,1211.656216576442,1165.2333547622204
0.886147526557279,0.9182016932230859,2.0,2.5,21.0,0.009527413188282959,1310.7933485888545,1265.0339160260462
0.8587033723835364,0.8793883723829834,2.0,1.0,21.0,0.04763179197926146,1348.998475611452,1317.2672925032855
0.8559812824396907,0.8756320324391613,2.0,1.0,21.0,0.09523064426095479,1347.6014890890115,1317.3588997592951
0.8402229075598725,0.8673403242258134,1.2058823529411764,1.0,21.0,0.47097143422939225,1324.2945742627203,1282.8904716795946
0.8347516389325473,0.8616952222651634,1.4764705882352942,1.0,21.0,0.911613792276186,1293.4562704494851,1253.0123339978725
0.8889538971841406,0.911412230516873,2.0,2.5,31.0,0.009678512324846988,1307.0435871355503,1274.8364040657625
0.8693822903514824,0.9197216236834628,2.0,2.189285714285714,31.0,0.048388888601853135,1333.782270732535,1260.7800615969163
0.8587512635627403,0.8792447357844178,2.0,1.0,31.0,0.09675483159040456,1346.4703752615708,1315.086788747269
0.8409092819260396,0.876893170813967,1.2058823529411764,1.0,31.0,0.48014540606548006,1342.3161812704057,1287.233352566807
0.8463035213325182,0.8701424102207727,1.8941176470588235,1.0,31.0,0.9386218028254322,1305.8558339385304,1270.0799060401982
