phi_c_tau_T,phi_c_D_T,n_tau,n_D,nv,mu,box_area_at_phi_c_tau_T,box_area_at_phi_c_D_T
0.807912352427373,0.8379123524265638,1.0,1.45,4.0,0.008164829729915748,1414.2144699087162,1363.5809711027234
0.798422918744907,0.8284229187440977,1.0,1.0,4.0,0.04080782932503446,1409.7684848728095,1358.7159927361117
0.8070806626230439,0.8370806626222362,1.0,1.3,4.0,0.08151391459392208,1369.5139318697293,1320.4321410823495
0.8032100494112954,0.8309600494105818,1.0,1.0,4.0,0.3922322702763648,1138.730158611469,1100.7021427964246
0.791082029108246,0.8188320291075335,1.0,1.0,4.0,0.7071067811865476,1060.9548794965822,1024.9994004011157
0.8059883976381329,0.8339408976373776,1.0,1.2892857142857144,7.0,0.008677567623904503,1435.5090758311453,1387.3928753248908
0.801793955524698,0.8317939555238947,1.0,1.3214285714285714,7.0,0.043374985057394705,1433.6635590371918,1381.9561542353922
0.8051009915482632,0.8300478665475782,1.0,1.1821428571428572,7.0,0.08666978548021526,1413.4635182912857,1370.982236032748
0.7694523471353766,0.7994523471345882,1.0,1.0,7.0,0.421078708453035,1326.9555462621338,1277.160625364721
0.7505347260998996,0.780534726099097,1.0,1.0,7.0,0.7770942488589635,1266.4822047904722,1217.804721429054
0.8077111436314535,0.8377111436306499,1.0,1.3107142857142857,11.0,0.0091169801104741,1436.2615156118945,1384.8263093420346
0.7950435889514552,0.8250435889506516,1.0,1.0,11.0,0.045575670234116586,1453.145566879762,1400.3067016500215
0.7998432314333865,0.8298432314325773,1.0,1.225,11.0,0.09109372317530223,1432.798663691506,1381.0009767532374
0.7794130548768718,0.7990093048763056,1.0,1.0,11.0,0.4465288487115895,1378.7394539712411,1344.9249253303187
0.745916012772029,0.7759160127712218,1.0,1.0,11.0,0.8433074288781546,1358.5495259902987,1306.0225963899563
0.7968891932266062,0.8183673182260538,1.1,1.0,21.0,0.009527413188282959,1457.6132962433617,1419.358102175453
0.8067633723857892,0.8201558723853437,1.0,1.0,21.0,0.04763179197926146,1435.8479574031392,1412.4016901552386
0.8040412824419394,0.822438782441386,1.0,1.1071428571428572,21.0,0.09523064426095479,1434.6547572093673,1402.5623249719
0.7807155742287605,0.8034630742281317,1.2352941176470589,1.0,21.0,0.47097143422939225,1425.2343290986391,1384.8833547474896
0.76226897226846,0.7892689722677365,1.0941176470588236,1.0,21.0,0.911613792276186,1416.4484990542526,1367.9933958927072
0.7952105638534925,0.8200397305195134,1.0,1.0,31.0,0.009678512324846988,1461.1243152294842,1416.884386610873
0.8074216236873395,0.8308241236866732,1.0,1.075,31.0,0.048388888601853135,1436.1352871181896,1395.6824944059483
0.8055854857872413,0.8280779857866081,1.0,1.2464285714285714,31.0,0.09675483159040456,1435.3326326078452,1396.3457016760253
0.777528170817242,0.8036981708165696,1.0,1.0,31.0,0.48014540606548006,1451.7366424465115,1404.465229730406
0.7759924102237211,0.7969924102231608,1.0,1.0,31.0,0.9386218028254322,1424.1768038635482,1386.6510853037412
