phi,phi_eff,outer_phi_eff,sigma_eff_small,sigma_eff_large,relative_rms_roughness_small,relative_rms_roughness_large,outer_sigma_small,outer_sigma_large,mu_eff,nv
0.6880594564642171,0.6880670231409478,0.7000000000000002,0.9960299477911739,1.3847255677928094,1.0000060656076109,1.000048427195033,1.0,1.4,0.008164829729915748,4
0.6967567359216175,0.6967563672971414,0.7000000000000002,0.9982020950133376,1.3963798354813404,1.000001283009952,1.0000026855414366,1.0,1.4,0.008677567623904503,7
0.6986120008375655,0.6986114240835193,0.7000000000000002,0.9989420992146131,1.398657567087051,1.0000004468269128,1.0000003683482253,1.0,1.4,0.0091169801104741,11
0.6994983619404153,0.6994978794722978,0.7000000000000002,0.9994749482317506,1.3996165815465311,1.0000001102842635,1.0000000300154066,1.0,1.4,0.009527413188282959,21
0.699706248256496,0.6997058630002317,0.7000000000000002,0.9996503415050523,1.3998054919936291,1.0000000489193106,1.0000000077228288,1.0,1.4,0.009678512324846988,31
0.6778400663446013,0.6778852513612323,0.7000000000000002,0.9806261159445289,1.3801661590126078,1.0001495912726572,1.000082193277144,1.0,1.4,0.04080782932503446,4
0.6922396444148884,0.6922449277351939,0.7000000000000002,0.9911052015521811,1.3946030268326337,1.0000318997996402,1.0000059835960335,1.0,1.4,0.043374985057394705,7
0.6957392496434014,0.6957385133915329,0.7000000000000002,0.9947402536243168,1.3973087802284883,1.000011146341844,1.000001483036284,1.0,1.4,0.045575670234116586,11
0.6975913241114162,0.6975887158941602,0.7000000000000002,0.9973807780243541,1.398225767375001,1.0000027563036866,1.0000006438355429,1.0,1.4,0.04763179197926146,21
0.6983002101284915,0.6982978179619018,0.7000000000000002,0.9982538956684284,1.3986748590899445,1.0000012232681836,1.0000003589309288,1.0,1.4,0.048388888601853135,31
0.665625328983176,0.6657376362475782,0.7000000000000002,0.9622810348546795,1.3744578413033242,1.0005909363207055,1.000137404274186,1.0,1.4,0.08151391459392208,4
0.6853010678252606,0.6852955863596879,0.7000000000000002,0.9823909824484433,1.3902263463949538,1.000127368591217,1.0000197339855939,1.0,1.4,0.08666978548021526,7
0.6901388646242277,0.6901133642671557,0.7000000000000002,0.9895247015658513,1.3924921973233508,1.0000446803349,1.0000116106094927,1.0,1.4,0.09109372317530223,11
0.6946598426334776,0.6946377760134858,0.7000000000000002,0.9947603333202677,1.3956279346980607,1.0000110817170917,1.0000039202932707,1.0,1.4,0.09523064426095479,21
0.6963228308514116,0.6963055294349259,0.7000000000000002,0.9965020138388162,1.3969113800595987,1.000004922415646,1.000001952803387,1.0,1.4,0.09675483159040456,31
0.5508031301425409,0.5323427220534158,0.7000000000000002,0.8243109478899986,1.2536190353818448,1.0171242485271976,1.005211727970678,1.0,1.4,0.3922322702763648,4
0.6148717584584695,0.6004863748937544,0.7000000000000002,0.9023398888333397,1.3133857975257677,1.0045000360902514,1.0016683283196481,1.0,1.4,0.421078708453035,7
0.6471371360257074,0.6379813360795286,0.7000000000000002,0.9385938822327711,1.3478839616016414,1.0016428270055526,1.0005746889176328,1.0,1.4,0.4465288487115895,11
0.6700783107117922,0.6637186055295948,0.7000000000000002,0.9679363860575845,1.367362674823142,1.0004193427634511,1.0002166271467265,1.0,1.4,0.47097143422939225,21
0.679751876268265,0.6754052761160502,0.7000000000000002,0.978276135625532,1.3780331112699367,1.000188034831605,1.0000965599354428,1.0,1.4,0.48014540606548006,31
0.5054344928930032,0.5280747509075131,0.7000000000000002,0.8226196580591891,1.247517014718463,1.014691088759513,1.0053448644602527,1.0,1.4,0.7071067811865476,4
0.5724220127283848,0.5880296707198632,0.7000000000000002,0.8934066218376464,1.2993652576604173,1.0050371540038836,1.0021735523541202,1.0,1.4,0.7770942488589635,7
0.6102557060663414,0.6240057208733102,0.7000000000000002,0.9301580552113369,1.3317127148433554,1.0020313258765199,1.0009502146717482,1.0,1.4,0.8433074288781546,11
0.6502127393698437,0.6583634937879428,0.7000000000000002,0.9625049494074303,1.3629091245612663,1.000548397746493,1.0002673611482347,1.0,1.4,0.911613792276186,21
0.6655302879372916,0.6713528692208323,0.7000000000000002,0.9743852949778743,1.3745678805382957,1.0002494221137017,1.000123390661201,1.0,1.4,0.9386218028254322,31
