mu,nv,phi_b_small,phi_b_large,phi_j_eff,outer_phi_j_eff
0.008164829729915748,4,0.8489123524253914,0.8589123524251243,0.8389123524256569,0.8289123524259288
0.04080782932503446,4,0.8394229187429708,0.8594229187424358,0.8394229187429708,0.8094229187437579
0.08151391459392208,4,0.8180806626218788,0.858080662620793,0.8380806626213412,0.798080662622416
0.3922322702763648,4,0.6814600494134854,0.6614600494140236,0.8714600494084421,0.6614600494140236
0.7071067811865476,4,0.5693320291131149,0.619332029111771,0.7993320291069599,0.6093320291120385
0.008677567623904503,7,0.8169883976369741,0.8469883976361636,0.8369883976364313,0.8369883976364313
0.043374985057394705,7,0.8427939555227242,0.8527939555224703,0.8427939555227242,0.8327939555229985
0.08666978548021526,7,0.8363509915466689,0.8463509915464212,0.8363509915466689,0.826350991546941
0.421078708453035,7,0.7409523471354953,0.7809523471344135,0.86095234713227,0.7409523471354953
0.7770942488589635,7,0.691534726100615,0.7415347260992764,0.8215347260971375,0.691534726100615
0.0091169801104741,11,0.8387111436297479,0.8587111436292133,0.8387111436297479,0.8387111436297479
0.045575670234116586,11,0.8560435889489679,0.8560435889489679,0.8360435889495035,0.8360435889495035
0.09109372317530223,11,0.8408432314314406,0.8508432314311787,0.8408432314314406,0.8308432314316969
0.4465288487115895,11,0.7909130548759041,0.8109130548753752,0.8509130548743029,0.7809130548761636
0.8433074288781546,11,0.7666660127705012,0.7766660127702358,0.816666012769139,0.7366660127713054
0.009527413188282959,21,0.8495341932249184,0.8395341932251855,0.8395341932251855,0.8395341932251855
0.04763179197926146,21,0.8177633723846266,0.8577633723835575,0.8377633723840904,0.8377633723840904
0.09523064426095479,21,0.8450412824399701,0.8550412824397147,0.835041282440242,0.835041282440242
0.47097143422939225,21,0.8322155742267485,0.8322155742267485,0.8522155742262261,0.8022155742275632
0.911613792276186,21,0.8137689722664505,0.8137689722664505,0.8337689722659113,0.7837689722672497
0.009678512324846988,31,0.849727230518524,0.8397272305187855,0.8397272305187855,0.8397272305187855
0.048388888601853135,31,0.8584216236851094,0.8184216236861825,0.8384216236856514,0.8384216236856514
0.09675483159040456,31,0.8565854857850164,0.8465854857852867,0.8365854857855479,0.8365854857855479
0.48014540606548006,31,0.8411981708149281,0.8411981708149281,0.8411981708149281,0.8111981708157275
0.9386218028254322,31,0.8279924102218943,0.8279924102218943,0.8279924102218943,0.7979924102226932
