phi,G0,tau
0.8010000000000022,0.010309637925273018,0.0010766396002341205
0.8020000000000034,0.00932755477418989,0.0010643249250256708
0.8030000000000035,0.009105093290261134,0.0010850389998616197
0.8040000000000044,0.009038586786813877,0.00106785025730826
0.8050000000000056,0.009393166017249396,0.0010747576337818614
0.8060000000000074,0.009535319448717916,0.001078078516498622
0.8070000000000089,0.009561929239698955,0.0010662318077323666
0.8080000000000103,0.009661001797863108,0.001064689884868604
0.8090000000000114,0.01008437020315245,0.0010661853635510286
0.8100000000000136,0.010221631854401208,0.0010644008958487785
0.8110000000000157,0.010554339547841348,0.0010852408928048508
0.8120000000000178,0.010519378444916093,0.001061867876958394
0.8130000000000184,0.010708529733048791,0.0010626123954278596
0.8140000000000198,0.011449981719100905,0.0010749213185852118
0.815000000000022,0.011714960182855162,0.0010775486487807938
0.8160000000000224,0.011921461640166007,0.0010678510111938706
0.8170000000000227,0.012238722740459796,0.001092209248553533
0.8180000000000234,0.012718814858539911,0.0010798647773156565
0.8190000000000257,0.01322862854328706,0.0010858159564400066
0.8200000000000273,0.013429793590017006,0.001092586470784625
0.8210000000000282,0.014074420818225446,0.0010729488471774482
0.8220000000000292,0.014389913321288694,0.0010676992333611508
0.8230000000000292,0.01484065060342984,0.00107149975732642
0.8240000000000295,0.015970958653265692,0.0010871162588181077
0.8250000000000309,0.016280255270189423,0.0010905583415471236
0.8260000000000314,0.01663208151478901,0.0010815100223373678
0.8270000000000326,0.018070762186332287,0.001091373340944112
0.8280000000000319,0.01875567560900896,0.0011141843049747853
0.8290000000000328,0.01935449787842368,0.0010886789985155292
0.8300000000000338,0.020368157600163243,0.0010927964884376278
0.8310000000000357,0.0221823695770021,0.0011222911440393907
0.8320000000000374,0.02268655421226584,0.0010801906489897467
0.8330000000000384,0.024153888705313955,0.0011128425672280594
0.8340000000000394,0.02561380033004665,0.0011158753158595062
0.8350000000000406,0.027820981578271075,0.0011301333786026585
0.8360000000000409,0.029173353936466508,0.0011293083330481794
0.8370000000000424,0.03169275110297578,0.0011304564786067202
0.8380000000000436,0.03342173712907724,0.0011392875551371655
0.8390000000000463,0.0364114235894137,0.0011408078927384832
