nv,mu,cv,phi,delta_phi
6.0,0.008506390528907306,1.8309438909509372,0.8249941890755739,0.02300562726247245
6.0,0.042517853397217684,1.8358121251488342,0.8286949013499224,0.02300562726247245
6.0,0.08494776691458673,1.8463720891513908,0.8335687830570795,0.02300562726247245
6.0,0.4113509491947965,1.9714568497912062,0.8217324541332987,0.02300562726247245
6.0,0.7529377601646754,1.9717019630939265,0.8076704479127368,0.02300562726247245
8.0,0.008819855379154697,1.7886970681297814,0.8221559866105265,0.02300562726247245
8.0,0.0440875293475092,1.784546249741563,0.8285882389809319,0.02300562726247245
8.0,0.08810175736056135,1.8302530829542472,0.8277801234203981,0.02300562726247245
8.0,0.4292426225110819,1.9625820836105963,0.8060620264778071,0.02300562726247245
8.0,0.7978398338215679,1.9679865990956076,0.78981224658749,0.02300562726247245
12.0,0.009186621121613236,1.7403978244231755,0.8213678895771283,0.02300562726247245
12.0,0.04592450690295852,1.777224296916372,0.824541311892635,0.02300562726247245
12.0,0.0917953340839378,1.808852448129352,0.8239344905109391,0.02300562726247245
12.0,0.45062883864627845,1.9467173370255675,0.8104817886544332,0.02300562726247245
12.0,0.8544201748770377,2.0392656876892,0.7964930913814395,0.02300562726247245
14.0,0.009298155547770337,1.6913939323029825,0.8180852602698075,0.02300562726247245
14.0,0.04648322411332589,1.7850456971602757,0.821501820234728,0.02300562726247245
14.0,0.09291928548568841,1.7682085665620924,0.8219336516955557,0.02300562726247245
14.0,0.45723486783442424,1.9195064671056432,0.8055916905347891,0.02300562726247245
14.0,0.87260824488855,2.0364969538673385,0.7978928804381435,0.02300562726247245
20.0,0.00950418288030231,1.7048162148728094,0.8230887348972075,0.02300562726247245
20.0,0.04751540129600542,1.7741642422907964,0.8225433335095835,0.02300562726247245
20.0,0.0949963704011567,1.7725829496191643,0.8266111641981398,0.02300562726247245
20.0,0.4695696261643623,1.8805114500853037,0.8119024877741392,0.02300562726247245
20.0,0.9075565311257952,1.9698994128944403,0.7974700322982422,0.02300562726247245
32.0,0.009688491205280515,1.6700567248322855,0.8224782273644607,0.02300562726247245
32.0,0.04843889152504435,1.7561408413615178,0.8230180108464825,0.02300562726247245
32.0,0.09685551505548305,1.75604574556236,0.8209344101046244,0.02300562726247245
32.0,0.48075474056011225,1.775217919629021,0.8128752892822635,0.02300562726247245
32.0,0.940444467583589,1.8980835186218232,0.8058343026112336,0.02300562726247245
6.0,0.008506390528907306,2.25685265911006,0.8434558286956706,0.004543987642390772
6.0,0.042517853397217684,2.3947503217116806,0.847156540970024,0.004543987642390772
6.0,0.08494776691458673,2.4001960447673176,0.8520304226771904,0.004543987642390772
6.0,0.4113509491947965,2.4355617118077943,0.8401940937533893,0.004543987642390772
6.0,0.7529377601646754,2.398669889069691,0.8261320875328327,0.004543987642390772
8.0,0.008819855379154697,2.2605961281201274,0.8406176262306337,0.004543987642390772
