nv,mu,phi,pressure,temp
13,0.09291928548568841,0.811577163575634,2.582259070090943e-05,9.27044212996217e-07
19,0.0949963704011567,0.8130557997381452,2.6542168277135784e-05,9.159111638119795e-07
31,0.09685551505548305,0.8144862920708048,2.7625492952446126e-05,9.312907438359136e-07
5,0.08494776691458673,0.6130484069641486,3.432428777944393e-06,9.248520669443325e-07
7,0.08810175736056135,0.6155581115762427,3.4490137086164563e-06,9.180560176038624e-07
11,0.0917953340839378,0.6186904859488176,3.5493986568897544e-06,9.163949184696434e-07
13,0.09291928548568841,0.619577163580777,3.5110505443478043e-06,9.207082925409167e-07
19,0.0949963704011567,0.6210557997432791,3.638565672099749e-06,9.287980894269068e-07
31,0.09685551505548305,0.6224862920759423,3.682217303031455e-06,9.258543326086433e-07
5,0.08494776691458673,0.6120484069641763,3.4351993452222617e-06,9.257690252262211e-07
7,0.08810175736056135,0.614558111576272,3.483447246967603e-06,9.148743031221305e-07
11,0.0917953340839378,0.6176904859488447,3.503934925018585e-06,9.293487988976557e-07
13,0.09291928548568841,0.6185771635808037,3.614213310334236e-06,9.297041595038409e-07
19,0.0949963704011567,0.6200557997433043,3.559048004090722e-06,9.17520704629195e-07
31,0.09685551505548305,0.6214862920759712,3.6333176463440354e-06,9.252025681678319e-07
5,0.08494776691458673,0.8000484069591258,1.887209480645891e-05,9.27963188563941e-07
7,0.08810175736056135,0.8025581115712438,2.1344589015206927e-05,9.334263682317841e-07
11,0.0917953340839378,0.8056904859438592,2.200911988871047e-05,9.231359884082756e-07
13,0.09291928548568841,0.8065771635757573,2.2698694028390485e-05,9.235291573193032e-07
19,0.0949963704011567,0.8080557997382738,2.348583641160612e-05,9.255103287081358e-07
31,0.09685551505548305,0.8094862920709437,2.406571312458315e-05,9.302141479348699e-07
5,0.08494776691458673,0.604048406964392,3.2179827862445837e-06,9.194048145174362e-07
7,0.08810175736056135,0.6065581115764922,3.329832461750977e-06,9.265796077553561e-07
11,0.0917953340839378,0.6096904859490582,3.3858880016905902e-06,9.253628714258415e-07
13,0.09291928548568841,0.6105771635810162,3.3311755536647368e-06,9.250874003296934e-07
19,0.0949963704011567,0.6120557997435129,3.3908425858693904e-06,9.251430840828385e-07
31,0.09685551505548305,0.6134862920761857,3.3473936677594797e-06,9.208076146654786e-07
5,0.08494776691458673,0.6010484069644688,3.1793050959218524e-06,9.202579683221995e-07
7,0.08810175736056135,0.6035581115765705,3.203056564718102e-06,9.273348058158939e-07
11,0.0917953340839378,0.6066904859491355,3.2914382415191487e-06,9.337195517721871e-07
13,0.09291928548568841,0.6075771635810973,3.2244881767867967e-06,9.243218259940936e-07
19,0.0949963704011567,0.6090557997435939,3.1940623143619494e-06,9.18727686467614e-07
31,0.09685551505548305,0.6104862920762638,3.331803925609863e-06,9.242588565619757e-07
5,0.08494776691458673,0.6680484069626659,5.062154115906582e-06,9.197529549628595e-07
7,0.08810175736056135,0.6705581115747525,5.179937349071757e-06,9.252608477361747e-07
11,0.0917953340839378,0.6736904859473651,5.292006556812562e-06,9.24536910622894e-07
13,0.09291928548568841,0.674577163579288,5.289871470282016e-06,9.246178076876532e-07
